NAME,COMMON NAME,FAMILY,NATIVITY,HABIT,LOCATION and QUANTITY,ACCN #
Origanum 'Kent Beauty',"marjoram, oregano",Lamiaceae,Garden Origin,HD,"41A (7), NURS (3)",2013-0154
Origanum laevigatum,smooth oregano,Lamiaceae,"Cyprus, Syria & Turkey",HD,33 (3)                                                 ,2015-0168
Origanum maru,"Egyptian marjoram, Zaatar ",Lamiaceae,Asia Minor,HD,NURS (1)                                                 ,2010-0195
Origanum onites,pot marjoram,Lamiaceae,"SE Eur, Turkey & Syria",HE,41C (1)                                                 ,1994-0206
Origanum vulgare 'Aureum',golden oregano,Lamiaceae,Garden Origin,HD,"49 (3), 70 (3)",1980-0425
Origanum vulgare 'Aureum',golden oregano,Lamiaceae,Garden Origin,HD,55 (9)                                                 ,1997-0602
Origanum vulgare 'Dwarf Greek',"wild marjoram, oregano",Lamiaceae,Garden Origin,HD,41B (1)                                                 ,1994-0261
Origanum vulgare 'Gold Tip',"wild marjoram, oregano",Lamiaceae,Garden Origin,HD,"NURS (5), 41A (1)",2009-0297
Origanum vulgare 'Gold Tip',"wild marjoram, oregano",Lamiaceae,Garden Origin,HD,41A (1)                                                 ,1998-0190
Origanum vulgare 'White Anniversary',var'd wild marjoram,Lamiaceae,Garden Origin,HE,41A (1)                                                 ,1999-0404
Origanum vulgare 'Zorba Red',oregano,Lamiaceae,Garden Origin,HD,"50P (6), 40 (6)",2011-0153
Ornithogalum magnum,star of Bethlehem,Asparagaceae,Caucasus,BU,33 (4)                                                 ,2013-0290
Ornithogalum nutans,star of Bethlehem,Asparagaceae,"SW Asia, Europe",HD,32 (100)                                                 ,2002-0024
Ornithogalum umbellatum,star of Bethlehem,Asparagaceae,"Eur, N Afr & Mid East",HD,33 (1)                                                 ,1996-1311
Ornithogalum umbellatum,star of Bethlehem,Asparagaceae,"Eur, N Afr & Mid East",HD,"58B (100), 32 (30)",2008-0439
Ornithogalum umbellatum,star of Bethlehem,Asparagaceae,"Eur, N Afr & Mid East",HD,58B (100)                                                 ,2002-0372
Orontium aquaticum,golden club,Araceae,E USA,W,SEAS (1)                                                 ,2005-0049
Oscularia deltoides, ,Aizoaceae,S Africa (W Cape),HE,SEAS (1)                                                 ,2006-0129
Osmanthus armatus,sweet olive,Oleaceae,W China,SE,"90A (1), 48S (3)",1977-0818
Osmanthus decorus,sweet olive,Oleaceae,Turkey & Caucasus,SE,"48S (3), 90A (1)",1973-0894
Osmanthus decorus,sweet olive,Oleaceae,Turkey & Caucasus,SE,"97 (1), 74 (1), 85A (1)",2016-0014
Osmanthus delavayi,sweet olive,Oleaceae,W China,SE,"127B (1), 13B (1)",1986-0322
Osmanthus delavayi,sweet olive,Oleaceae,W China,SE,127D (1)                                                 ,2017-0011
Osmanthus delavayi,sweet olive,Oleaceae,W China,SE,13B (1)                                                 ,1995-0469
Osmanthus delavayi 'Latifolius',sweet olive,Oleaceae,Garden Origin,SE,130A (1)                                                 ,1992-0381
Osmanthus fragrans,fragrant olive,Oleaceae,"Himalayas, China & Japan",SE,74 (1)                                                 ,1991-0285
Osmanthus fragrans f. thunbergii,fragrant olive,Oleaceae,China,SE,40 (1)                                                 ,2011-0178
Osmanthus fragrans f. thunbergii,fragrant olive,Oleaceae,China,SE,74 (1)                                                 ,2016-0013
Osmanthus heterophyllus,false holly,Oleaceae,Japan & Taiwan,SE,46D (1)                                                 ,1972-0361
Osmanthus heterophyllus 'Goshiki',variegated false holly,Oleaceae,Garden Origin,SE,52 (1)                                                 ,2007-0197
Osmanthus heterophyllus 'Variegatus',variegated false holly,Oleaceae,Garden Origin,SE,"15A (1), 13A (1)",1996-0487
Osmanthus heterophyllus 'Variegatus',variegated false holly,Oleaceae,Garden Origin,SE,SEAS (3)                                                 ,2007-0196
Osmanthus heterophyllus 'Variegatus',variegated false holly,Oleaceae,Garden Origin,SE,"15A (1), 124 (1)",1974-0049
Osmanthus serrulatus,sweet olive,Oleaceae,W China,SE,"85A (1), 141 (1)",1992-0496
Osmanthus suavis,sweet olive,Oleaceae,Himalayas to Yunnan,SE,13B (1)                                                 ,1995-0551
Osmanthus x burkwoodii,hybrid sweet olive,Oleaceae,Garden Origin,SE,"46C (3), 46D (3), 47 (2)",1973-0084
Osmunda cinnamomea,cinnamon fern,Osmundaceae,"Can, USA, W Indies & Asia",HD,27 (1)                                                 ,1988-0083
Osmunda cinnamomea,cinnamon fern,Osmundaceae,"Can, USA, W Indies & Asia",HD,70 (9)                                                 ,2009-0099
Osmunda cinnamomea,cinnamon fern,Osmundaceae,"Can, USA, W Indies & Asia",HD,137C (1)                                                 ,2001-0479
Osmunda claytoniana,interrupted fern,Osmundaceae,"N America, Him & China",HD,"NURS (7), 16 (6), 130A (6), 130D (6)",2017-0290
Osmunda claytoniana,interrupted fern,Osmundaceae,"N America, Him & China",HD,38 (5)                                                 ,2001-0316
Osmunda regalis,royal fern,Osmundaceae,Northern Hemisphere,HD,130D (10)                                                 ,1993-0068
Osmunda regalis,royal fern,Osmundaceae,Northern Hemisphere,HD,130D (15)                                                 ,2007-0246
Osmunda regalis,royal fern,Osmundaceae,Northern Hemisphere,HD,"130D (8), 130B (8)",2016-0153
Osmunda regalis,royal fern,Osmundaceae,Northern Hemisphere,HD,"NURS (10), 16 (15)",2012-0027
Osmunda regalis,royal fern,Osmundaceae,Northern Hemisphere,HD,NURS (17)                                                 ,2009-0100
Osmunda regalis,royal fern,Osmundaceae,Northern Hemisphere,HD,55 (3)                                                 ,2008-0157
Osmunda regalis,royal fern,Osmundaceae,Northern Hemisphere,HD,66B (3)                                                 ,1978-0822
Osmunda regalis 'Cristata',royal fern,Osmundaceae,Garden Origin,HD,26B (1)                                                 ,1988-0088
Osmunda regalis 'Cristata',royal fern,Osmundaceae,Garden Origin,HD,66B (3)                                                 ,2017-0322
Osmunda regalis 'Purpurascens',royal fern,Osmundaceae,Garden Origin,HD,38A (8)                                                 ,2005-0116
Osmunda regalis 'Purpurascens',royal fern,Osmundaceae,Garden Origin,HD,"123 (2), 124 (1)",2004-0320
Osteospermum,African daisy,Asteraceae, ,HE,"57 (10), 58A (4)",1995-0743
Osteospermum (white/grey reverse; twisted),African daisy,Asteraceae,Garden Origin,HE,57 (20)                                                 ,1994-0460
Osteospermum jucundum 'Purple Mountain',compact African daisy,Asteraceae,Garden Origin,SD,"57 (11), 58A (13)",2001-0437
Osteospermum 'Passion Mix',African daisy,Asteraceae,Garden Origin,HE,SEAS (1)                                                 ,2000-0186
Osteospermum 'Pink Whirls',African daisy,Asteraceae,Garden Origin,HE,SEAS (2)                                                 ,1996-0921
Osteospermum 'Silver Sparkler',variegated African daisy,Asteraceae,Garden Origin,HE,SEAS (24)                                                 ,1994-0717
Osteospermum 'Whirligig',African daisy,Asteraceae,Garden Origin,HE,SEAS (1)                                                 ,1995-0608
Ostrya carpinifolia,European hop hornbeam,Betulaceae,S Europe & Asia Minor,TD,102 (1)                                                 ,1991-0169
Ostrya virginiana,eastern hop hornbeam,Betulaceae,N Amer,TD,"135C (1), 107B (1), 107T (1)",1991-0170
Othonna cheirifolia, ,Asteraceae,Algeria & Tunisia,SE,NURS (4)                                                 ,2008-0330
Oxalis adenophylla,sauerklee,Oxalidaceae,W Argentina & Chile,HD,57 (12)                                                 ,2008-0440
Oxalis adenophylla,sauerklee,Oxalidaceae,W Argentina & Chile,HD,57 (100)                                                 ,1997-0751
Oxalis adenophylla,sauerklee,Oxalidaceae,W Argentina & Chile,HD,NURS (100)                                                 ,2009-0662
Oxalis adenophylla,sauerklee,Oxalidaceae,W Argentina & Chile,HD,49 (25)                                                 ,1999-0353
Oxalis adenophylla,sauerklee,Oxalidaceae,W Argentina & Chile,HD,57 (60)                                                 ,2004-0282
Oxalis adenophylla,sauerklee,Oxalidaceae,W Argentina & Chile,HD,57 (3)                                                 ,1982-0923
Oxalis brasiliensis,Brazilian wood-sorrel,Oxalidaceae,Brazil,HD,NURS (18)                                                 ,2010-0127
Oxalis 'Charmed Velvet',"shamrock, sorrel",Oxalidaceae,Garden Origin,HD,"NURS (5), 55 (7)",2009-0439
Oxalis magellanica,"sorrel, shamrock",Oxalidaceae,"S America, NZ & S Austrl",HD,96A (1)                                                 ,1993-0319
Oxalis magellanica 'Nelson',"sorrel, shamrock",Oxalidaceae,Garden Origin,HD,"57 (14), 58C (3), 59 (3)",2013-0291
Oxalis oregana,redwood sorrel,Oxalidaceae,"BC, Wash to N California",HE,"22A (6), 96A (16), 19 (3)",1994-0731
Oxalis oregana,redwood sorrel,Oxalidaceae,"BC, Wash to N California",HE,"22B (10), 30 (3), 46C (3), 48A (3), 48B (3), 46D (5), 88A (10), 88 (10), 24A (10)",1978-0584
Oxalis oregana,redwood sorrel,Oxalidaceae,"BC, Wash to N California",HE,"48N (100), 20 (78)",2010-0104
Oxalis oregana,redwood sorrel,Oxalidaceae,"BC, Wash to N California",HE,NURS (54)                                                 ,2016-0323
Oxalis oregana (pink selection),redwood sorrel,Oxalidaceae,Wash to N California,HE,22B (1)                                                 ,2001-0296
Oxalis spiralis 'Aureus',golden false clover,Oxalidaceae,Garden Origin,HE,"55 (3), 35E (5)",2005-0225
Oxalis spiralis 'Aureus',golden false clover,Oxalidaceae,Garden Origin,HE,55 (18)                                                 ,2005-0228
Oxalis triangularis,"sorrel, shamrock",Oxalidaceae,Brazil & Peru to Arg,HD,46B (12)                                                 ,1995-0262
Oxalis triangularis ssp. papilionacea,"sorrel, shamrock",Oxalidaceae,Brazil & Peru to Arg,HD,51 (1)                                                 ,1990-0143
Oxydendrum arboreum,sourwood,Ericaceae,"NY to Ill, s to Fla & Ark",TD,27 (1)                                                 ,1973-0644
Oxydendrum arboreum,sourwood,Ericaceae,"NY to Ill, s to Fla & Ark",TD,NURS (1)                                                 ,2013-0135
Oxydendrum arboreum,sourwood,Ericaceae,"NY to Ill, s to Fla & Ark",TD,143A (2)                                                 ,2013-0134
Oxydendrum arboreum,sourwood,Ericaceae,"NY to Ill, s to Fla & Ark",TD,"15A (1), 107C (1)",1994-0062
Oxydendrum arboreum,sourwood,Ericaceae,"NY to Ill, s to Fla & Ark",TD,27 (1)                                                 ,1973-0520
Oxydendrum arboreum,sourwood,Ericaceae,"NY to Ill, s to Fla & Ark",TD,"21 (1), 10 (1), 33A (1)",2012-0028
Oxydendrum arboreum,sourwood,Ericaceae,"NY to Ill, s to Fla & Ark",TD,27 (5)                                                 ,1974-1376
Oxydendrum arboreum 'Chameleon',sourwood,Ericaceae,Garden Origin,TD,28 (1)                                                 ,1997-0150
Ozothamnus selago, ,Asteraceae,New Zealand,HD,52 (1)                                                 ,1984-0112
Ozothamnus 'Sussex Silver', ,Asteraceae,Garden Origin,SE,NURS (7)                                                 ,2017-0272
Pachysandra procumbens,Allegheny spurge,Buxaceae,SE USA,HD,16 (7)                                                 ,2016-0129
Pachysandra terminalis,Japanese spurge,Buxaceae,NC China & Japan,SE,NURS (3)                                                 ,2000-0261
Pachystachys coccinea,cardinal's guard,Acanthaceae,W Indies & Northern South Amer,SE,SEAS (2)                                                 ,2008-0301
Pachystachys lutea,lollipop plant,Acanthaceae,Peru,SE,SEAS (3)                                                 ,2008-0300
Paeonia (unknown cultivar),peony,Paeoniaceae,Garden Origin,HD,73 (1)                                                 ,1987-0435
Paeonia 'Angelet',tree peony,Paeoniaceae,Garden Origin,SD,73 (1)                                                 ,1987-0433
Paeonia 'Angelet',tree peony,Paeoniaceae,Garden Origin,SD,141 (3)                                                 ,1985-0517
Paeonia anomala ssp. veitchii,Veitch's peony,Paeoniaceae,W China,HD,NURS (6)                                                 ,2017-0150
Paeonia 'Bartzella',Itoh peony,Paeoniaceae,Garden Origin,HD,69 (3)                                                 ,2009-0545
Paeonia 'Canary',tree peony,Paeoniaceae,Garden Origin,SD,141 (3)                                                 ,1985-0514
Paeonia 'Cora Louise',Itoh peony,Paeoniaceae,Garden Origin,HD,68 (3)                                                 ,2009-0546
Paeonia delavayi,tree peony,Paeoniaceae,"China (Lijiang, Yunnan)",SD,136 (1)                                                 ,1981-0799
Paeonia delavayi,tree peony,Paeoniaceae,"China (Lijiang, Yunnan)",SD,136 (1)                                                 ,1978-0378
Paeonia delavayi var. ludlowii,Tibetan tree peony,Paeoniaceae,SE Tibet,SD,136 (3)                                                 ,1981-0800
Paeonia delavayi var. ludlowii,Tibetan tree peony,Paeoniaceae,SE Tibet,SD,26 (1)                                                 ,1977-0125
Paeonia 'Golden Isles',tree peony,Paeoniaceae,Garden Origin,SD,73 (1)                                                 ,1987-0431
Paeonia 'Golden Vanitie',tree peony,Paeoniaceae,Garden Origin,SD,73 (1)                                                 ,1987-0432
Paeonia 'Hesperus',tree peony,Paeoniaceae,Garden Origin,SD,141 (3)                                                 ,1985-0515
Paeonia lactiflora (single pink),Chinese peony,Paeoniaceae,Garden Origin,HD,145 (3)                                                 ,2001-0297
Paeonia lactiflora (single red),Chinese peony,Paeoniaceae,Garden Origin,HD,145 (3)                                                 ,2001-0298
Paeonia lactiflora (unknown cultivar),Chinese peony,Paeoniaceae,Garden Origin,HD,68 (5)                                                 ,2003-0102
Paeonia lactiflora 'Akasjhigata',Japanese peony,Paeoniaceae,Garden Origin,HD,26B (1)                                                 ,1982-0803
Paeonia lactiflora 'Auguste Dessert',Chinese peony,Paeoniaceae,Garden Origin,HD,26B (1)                                                 ,1982-0800
Paeonia lactiflora 'Charles' White',Chinese peony,Paeoniaceae,Garden Origin,HD,NURS (2)                                                 ,2002-0428
Paeonia lactiflora 'Coral Charm',Chinese peony,Paeoniaceae,Garden Origin,HD,50P (1)                                                 ,1995-0084
Paeonia lactiflora 'Do Tell',Japanese peony,Paeoniaceae,Garden Origin,HD,26B (1)                                                 ,1982-0805
Paeonia lactiflora 'Fancy Nancy',Japanese peony,Paeoniaceae,Garden Origin,HD,26B (1)                                                 ,1982-0806
Paeonia lactiflora 'Felix Crousse',Chinese peony,Paeoniaceae,Garden Origin,HD,26B (1)                                                 ,1985-0161
Paeonia lactiflora 'Festiva Maxima',Chinese peony,Paeoniaceae,Garden Origin,HD,NURS (15)                                                 ,2014-0034
Paeonia lactiflora 'Festiva Maxima',Chinese peony,Paeoniaceae,Garden Origin,HD,145 (1)                                                 ,1987-0225
Paeonia lactiflora 'Gardenia',Chinese peony,Paeoniaceae,Garden Origin,HD,50P (18)                                                 ,1995-0083
Paeonia lactiflora 'Gay Paree',Japanese peony,Paeoniaceae,Garden Origin,HD,26B (1)                                                 ,1982-0809
Paeonia lactiflora 'Gay Paree',Japanese peony,Paeoniaceae,Garden Origin,HD,145 (2)                                                 ,1987-0227
Paeonia lactiflora 'Isani-gidui',Japanese peony,Paeoniaceae,Garden Origin,HD,50Q (1)                                                 ,1995-0082
Paeonia lactiflora 'Kansas',Chinese peony,Paeoniaceae,Garden Origin,HD,NURS (15)                                                 ,2014-0035
Paeonia lactiflora 'Katherine Fonteyn',Chinese peony,Paeoniaceae,Garden Origin,HD,NURS (13)                                                 ,2014-0033
Paeonia lactiflora 'Madame Claude Tain',Chinese peony,Paeoniaceae,Garden Origin,HD,70 (6)                                                 ,2012-0355
Paeonia lactiflora 'Margaret Truman',Chinese peony,Paeoniaceae,Garden Origin,HD,NURS (10)                                                 ,2014-0036
Paeonia lactiflora 'Okinawa',Chinese peony,Paeoniaceae,Garden Origin,HD,36A (3)                                                 ,2005-0165
Paeonia lactiflora 'Pink Hawaiian Coral',Chinese peony,Paeoniaceae,Garden Origin,HD,NURS (5)                                                 ,2014-0037
Paeonia lactiflora 'Primevere',Chinese peony,Paeoniaceae,Garden Origin,HD,68 (5)                                                 ,2003-0103
Paeonia lactiflora 'Primevere',Chinese peony,Paeoniaceae,Garden Origin,HD,26B (1)                                                 ,1982-0802
Paeonia lactiflora 'PrΘsident Poincare',Chinese peony,Paeoniaceae,Garden Origin,HD,26B (3)                                                 ,1985-0162
Paeonia lactiflora 'Sarah Bernhardt',Chinese peony,Paeoniaceae,Garden Origin,HD,36B (3)                                                 ,2005-0159
Paeonia lactiflora 'Sarah Bernhardt',Chinese peony,Paeoniaceae,Garden Origin,HD,26B (3)                                                 ,1985-0140
Paeonia lactiflora 'Solange',Chinese peony,Paeoniaceae,Garden Origin,HD,26B (3)                                                 ,1985-0142
Paeonia lactiflora 'Sword Dance',Chinese peony,Paeoniaceae,Garden Origin,HD,145 (1)                                                 ,1987-0364
Paeonia lactiflora 'Taki No Yosooi',Chinese peony,Paeoniaceae,Garden Origin,HD,70 (6)                                                 ,2012-0356
Paeonia lactiflora 'Victoire de la Marne',Chinese peony,Paeoniaceae,Garden Origin,HD,26B (1)                                                 ,1985-0141
Paeonia lutea,tree peony,Paeoniaceae,China (Yunnan),SD,85A (11)                                                 ,1996-0347
Paeonia lutea,tree peony,Paeoniaceae,China (Yunnan),SD,26B (1)                                                 ,1980-0163
Paeonia lutea,tree peony,Paeoniaceae,China (Yunnan),SD,122 (14)                                                 ,1995-0009
Paeonia 'Mandarin',tree peony,Paeoniaceae,Garden Origin,SD,73 (1)                                                 ,1987-0427
Paeonia mascula,peony,Paeoniaceae,S Europe,HD,"26B (1), 34 (1)",1974-0627
Paeonia mlokosewitschii,molly-the-witch,Paeoniaceae,C Caucasus,SD,96A (1)                                                 ,1995-0370
Paeonia mlokosewitschii,molly-the-witch,Paeoniaceae,C Caucasus,SD,26B (3)                                                 ,1974-0625
Paeonia 'Morning Lilac',Itoh peony,Paeoniaceae,Garden Origin,HD,68 (3)                                                 ,2009-0547
Paeonia obovata,peony,Paeoniaceae,E Asia,HD,NURS (3)                                                 ,2017-0149
Paeonia obovata var. alba,peony,Paeoniaceae,China & Siberia,HD,26B (1)                                                 ,1974-0623
Paeonia 'Roman Gold',tree peony,Paeoniaceae,Garden Origin,SD,141 (3)                                                 ,1985-0519
Paeonia 'Romance',peony,Paeoniaceae,Garden Origin,HD,NURS (4)                                                 ,1996-0672
Paeonia suffruticosa (pink fld selection),moutan peony,Paeoniaceae,Garden Origin,SD,37 (2)                                                 ,2005-0103
Paeonia suffruticosa (red flowered selection),moutan peony,Paeoniaceae,Garden Origin,SD,37 (2)                                                 ,2005-0104
Paeonia suffruticosa (white fld selection),moutan peony,Paeoniaceae,Garden Origin,SD,37 (2)                                                 ,2005-0105
Paeonia suffruticosa 'Black Pirate',moutan peony,Paeoniaceae,Garden Origin,SD,141 (1)                                                 ,1985-0518
Paeonia suffruticosa 'Da Zong Zi',moutan peony,Paeoniaceae,Garden Origin,SD,NURS (1)                                                 ,1996-0166
Paeonia suffruticosa 'Echigo Jishi',moutan peony,Paeoniaceae,Garden Origin,SD,141 (4)                                                 ,1985-0505
Paeonia suffruticosa 'Fuso-no-Tsukasa',moutan peony,Paeoniaceae,Garden Origin,SD,141 (2)                                                 ,1985-0498
Paeonia suffruticosa 'Gessekai',moutan peony,Paeoniaceae,Garden Origin,SD,141 (2)                                                 ,1985-0499
Paeonia suffruticosa 'Godaishu',moutan peony,Paeoniaceae,Garden Origin,SD,141 (2)                                                 ,1993-0172
Paeonia suffruticosa 'Hana-kisoi',moutan peony,Paeoniaceae,Garden Origin,SD,26B (1)                                                 ,1982-0561
Paeonia suffruticosa 'Hatsu Garasu',moutan peony,Paeoniaceae,Garden Origin,SD,141 (2)                                                 ,1985-0510
Paeonia suffruticosa 'Higurashi',moutan peony,Paeoniaceae,Garden Origin,SD,26B (1)                                                 ,1978-0268
Paeonia suffruticosa 'Howki',moutan peony,Paeoniaceae,Garden Origin,SD,141 (3)                                                 ,1985-0507
Paeonia suffruticosa 'Kinkow',moutan peony,Paeoniaceae,Garden Origin,SD,26B (1)                                                 ,1982-0560
Paeonia suffruticosa 'Konron Koku',moutan peony,Paeoniaceae,Garden Origin,SD,85A (1)                                                 ,1987-0420
Paeonia suffruticosa 'Kronos',moutan peony,Paeoniaceae,Garden Origin,SD,85A (1)                                                 ,1987-0421
Paeonia suffruticosa 'Kunshan Moonlight',moutan peony,Paeoniaceae,Garden Origin,SD,NURS (1)                                                 ,1996-0168
Paeonia suffruticosa 'Lantian Jade',moutan peony,Paeoniaceae,Garden Origin,SD,141 (1)                                                 ,1996-0169
Paeonia suffruticosa 'Meikohoh',moutan peony,Paeoniaceae,Garden Origin,SD,141 (3)                                                 ,1985-0500
Paeonia suffruticosa 'Pink Beauty',moutan peony,Paeoniaceae,Garden Origin,SD,"141 (1), 85A (1)",1996-0171
Paeonia suffruticosa 'Purple Beauty',moutan peony,Paeoniaceae,Garden Origin,SD,"141 (1), NURS (3), 85A (1)",1996-0172
Paeonia suffruticosa 'Qing-Long-Wo-Mo-Chi',moutan peony,Paeoniaceae,Garden Origin,SD,141 (1)                                                 ,1996-0173
Paeonia suffruticosa 'Renkaku',moutan peony,Paeoniaceae,Garden Origin,SD,141 (1)                                                 ,1985-0501
Paeonia suffruticosa 'Rimpo',moutan peony,Paeoniaceae,Garden Origin,SD,141 (1)                                                 ,1985-0511
Paeonia suffruticosa 'Robert Smirnow',moutan peony,Paeoniaceae,Garden Origin,SD,141 (2)                                                 ,1985-0496
Paeonia suffruticosa 'Shengdan Lu',moutan peony,Paeoniaceae,Garden Origin,SD,NURS (1)                                                 ,1996-0174
Paeonia suffruticosa 'Shima Nishiki',moutan peony,Paeoniaceae,Garden Origin,SD,141 (2)                                                 ,1985-0497
Paeonia suffruticosa 'Shishi Gashira',moutan peony,Paeoniaceae,Garden Origin,SD,85A (1)                                                 ,1987-0419
Paeonia suffruticosa 'Shuma Musime',moutan peony,Paeoniaceae,Garden Origin,SD,73 (2)                                                 ,1987-0434
Paeonia suffruticosa 'Shunkoden',moutan peony,Paeoniaceae,Garden Origin,SD,85A (1)                                                 ,1987-0422
Paeonia suffruticosa ssp. rockii,Joseph Rock moutan peony,Paeoniaceae,China,SD,127B (1)                                                 ,1993-0894
Paeonia suffruticosa 'Taiyo',moutan peony,Paeoniaceae,Garden Origin,SD,141 (1)                                                 ,1985-0506
Paeonia suffruticosa 'Teni',moutan peony,Paeoniaceae,Garden Origin,SD,141 (2)                                                 ,1985-0504
Paeonia suffruticosa 'Wulongpengsheng',moutan peony,Paeoniaceae,Garden Origin,SD,85A (2)                                                 ,1996-0177
Paeonia suffruticosa 'Yin-fen-Jin-Lin',moutan peony,Paeoniaceae,Garden Origin,SD,NURS (1)                                                 ,1996-0179
Paeonia suffruticosa 'Zhongshen Fen',moutan peony,Paeoniaceae,Garden Origin,SD,NURS (1)                                                 ,1996-0182
Paeonia suffruticosa 'Zhuan Yuan Hong',moutan peony,Paeoniaceae,Garden Origin,SD,"NURS (2), 141 (1)",1996-0183
Paeonia suffruticosa 'Zilankui',moutan peony,Paeoniaceae,Garden Origin,SD,NURS (1)                                                 ,1996-0184
Paeonia 'Vesuvian',tree peony,Paeoniaceae,Garden Origin,SD,141 (3)                                                 ,1985-0516
Paeonia x lemoinei 'Alice Harding',hybrid tree peony,Paeoniaceae,Garden Origin,SD,141 (1)                                                 ,1993-0173
Paeonia x lemoinei 'Silver Sails',hybrid tree peony,Paeoniaceae,Garden Origin,SD,141 (3)                                                 ,1985-0520
Panicum amarum 'Dewey Blue',bitter switchgrass,Poaceae,Garden Origin,HD,35C (16)                                                 ,2014-0225
Panicum clandestinum,tioga deertongue,Poaceae,C&E Canada & USA,HD,136 (2)                                                 ,1996-1164
Panicum virgatum [Ruby Ribbons] = 'RR1',switch grass,Poaceae,Garden Origin,HD,55 (8)                                                 ,2012-0106
Panicum virgatum 'Heavy Metal',switch grass,Poaceae,Garden Origin,HD,NURS (1)                                                 ,1996-1180
Panicum virgatum 'Prairie Sky',switch grass,Poaceae,Garden Origin,HD,"35C (16), 35B (5), NURS (55)",2007-0171
Panicum virgatum 'Rotstrahlbusch',switch grass,Poaceae,Garden Origin,HD,48S (1)                                                 ,1999-0542
Panicum virgatum 'Rotstrahlbusch',switch grass,Poaceae,Garden Origin,HD,"NURS (18), 35A (1)",2009-0193
Panicum virgatum 'Rotstrahlbusch',switch grass,Poaceae,Garden Origin,HD,"NURS (9), 35C (12), 35A (9)",2009-0529
Panicum virgatum 'Shenandoah',switch grass,Poaceae,Garden Origin,HD,"21 (10), 156 (31), 29 (28)",2005-0174
Panicum virgatum 'Shenandoah',switch grass,Poaceae,Garden Origin,HD,"35C (35), 35B (9)",2007-0172
Papaver cambricum,Welsh poppy,Papaveraceae,W Europe,HD,"26A (200), 25 (50), 46B (1)",1974-0988
Papaver nudicaule Garden Gnome Group,Icelandic poppy,Papaveraceae,Garden Origin,HD,"158 (158), 156 (36), 157 (96)",2006-0012
Papaver nudicaule 'Harbutt's Choice',Icelandic poppy,Papaveraceae,Garden Origin,HD,58B (1)                                                 ,1982-0604
Papaver orientale,Oriental poppy,Papaveraceae,SW Asia,HD,71A (16)                                                 ,1982-0290
Papaver orientale 'Carneum',Oriental poppy,Papaveraceae,Garden Origin,HD,55 (1)                                                 ,1997-0047
Papaver orientale 'Coral Reef',Oriental poppy,Papaveraceae,Garden Origin,HD,NURS (18)                                                 ,2017-0073
Papaver orientale 'Harvest Moon',Oriental poppy,Papaveraceae,Garden Origin,HD,"25 (7), 26B (1)",2016-0025
Papaver orientale 'Harvest Moon',Oriental poppy,Papaveraceae,Garden Origin,HD,NURS (8)                                                 ,2015-0076
Papaver orientale 'Perry's White',Oriental poppy,Papaveraceae,Garden Origin,HD,"39 (1), 68 (8)",2003-0105
Papaver orientale 'PicotΘe',Oriental poppy,Papaveraceae,Garden Origin,HD,68 (25)                                                 ,2009-0051
Papaver orientale 'Royal Wedding',Oriental poppy,Papaveraceae,Garden Origin,HD,NURS (18)                                                 ,2017-0074
Papaver rhaeticum,Rhaetian poppy,Papaveraceae,Pyrenees,HD,51A (14)                                                 ,1992-0536
Papaver rupifragum,Spanish poppy,Papaveraceae,Spain,HD,152 (1)                                                 ,1985-0103
Papaver rupifragum 'Flore Pleno',Spanish poppy,Papaveraceae,Garden Origin,HD,52 (1)                                                 ,2003-0140
Papaver spicatum,spicate poppy,Papaveraceae,C Mediterranean,HD,"46C (1), 46D (28), 25 (3)",1985-0237
Parathelypteris noveboracensis,New York fern,Thelypteridaceae,ENA,HD,10 (10)                                                 ,2012-0269
Paris quadrifolia,herb paris,Melanthiaceae,France & C&E Spain,HD,NURS (9)                                                 ,2015-0117
Parodia ottonis,cactus,Cactaceae,S Amer,HE,SEAS (1)                                                 ,1994-0446
Paronychia cephalotes,whitlowwort,Caryophyllaceae,"C, E&SE Europe",HE,96A (1)                                                 ,1981-0529
Parrotia persica,Persian ironwood,Hamamelidaceae,N Iran,TD,32B (1)                                                 ,1990-0024
Parrotia persica,Persian ironwood,Hamamelidaceae,N Iran,TD,"45 (1), 45A (1)",1973-0299
Parrotia persica,Persian ironwood,Hamamelidaceae,N Iran,TD,45B (1)                                                 ,1977-0096
Parrotiopsis jacquemontiana, ,Hamamelidaceae,Himalayas,TD,"130A (1), 130C (1), 127D (1)",1986-0202
Parthenium integrifolium,wild quinine,Asteraceae,E USA to Wisc & Ark,HD,"10 (9), 26 (2)",1996-1058
Parthenocissus henryana,silvervein creeper,Vitaceae,China,VD,38A (1)                                                 ,2012-0029
Parthenocissus henryana,silvervein creeper,Vitaceae,China,VD,"130A (1), 136 (1), 56 (1), STOR (6), 126D (1), 128 (1)",1993-0155
Parthenocissus quinquefolia,Virginia creeper,Vitaceae,NE&SC USA; Mexico,VD,LATH (2)                                                 ,1989-0433
Passiflora 'Amethyst',passion flower,Passifloraceae,Garden Origin,VD,NURS (1)                                                 ,2010-0210
Passiflora caerulea,blue passion flower,Passifloraceae,Argentina to Brazil,VE,SEAS (2)                                                 ,2001-0338
Passiflora caerulea,blue passion flower,Passifloraceae,Argentina to Brazil,VE,"57B (1), 57 (2)",2016-0049
